# loc (location id), x (in meter), y (in meter)
3.2.1, -101, -214
3.2.2, -91, -223
4.3.2, 384, -81
4.3.1, 379, -53
4.2.7, 383, -62
4.2.6, 375, -35
4.2.4, 381, -84
4.2.3, 369, -60
4.2.2, 390, -73
4.1.4, 403, -63
4.1.3, 339, -93
4.1.2, 442, -78
4.1.1, 365, -78
113.1.1, 337, 91
113.2.1, 337, 88
113.2.2, 342, 79
113.2.3, 349, 98
113.3.1, 337, 88
113.4.1, 341, 80
113.4.2, 346, 97
113.4.3, 336, 87
113.5.1, 337, 88
5.1.1, -451, 458
15.10.1, -12, 210
15.10.2, 7, 209
15.10.3, -7, 184
15.10.4, -4, 180
15.8.1, 16, 269
15.8.3, 2, 280
15.8.4, -15, 270
15.8.5, -40, 282
15.8.7, 4, 226
15.8.9, -30, 279
15.7.1, 25, 182
15.7.2, 20, 216
15.7.3, -31, 205
15.7.4, -35, 196
15.7.5, -35, 205
15.7.6, -17, 211
15.7.7, -4, 200
15.7.8, -24, 213
15.7.9, 25, 195
15.7.10, 10, 181
15.7.11, 6, 229
15.7.12, 1, 243
15.7.13, 15, 259
15.7.14, -43, 271
15.7.15, -30, 267
15.7.16, -19, 246
15.6.1, -17, 265
15.6.2, 12, 263
15.6.3, 0, 279
15.6.4, -25, 276
15.6.5, 17, 216
15.6.6, -8, 224
15.6.8, 27, 170
15.6.11, -39, 279
15.4.1, 0, 232
15.4.3, -37, 230
15.4.4, 0, 221
15.4.6, -37, 193
15.4.8, 18, 219
15.4.10, -17, 213
15.4.15, 13, 192
15.4.19, 5, 213
15.3.1, -39, 271
15.3.2, -28, 271
15.3.3, -18, 274
15.3.4, -23, 244
15.3.5, -5, 243
15.3.6, 3, 265
15.3.7, 25, 265
15.3.8, -18, 219
15.3.9, -31, 214
15.3.10, -9, 204
15.3.11, 8, 206
15.3.12, 14, 220
15.3.13, 23, 193
15.3.14, 16, 179
15.3.15, 10, 233
15.2.3, 19, 263
15.2.4, 4, 255
15.2.7, 16, 207
15.2.8, -20, 217
15.2.9, -9, 267
15.2.11, -39, 277
15.2.12, -3, 211
15.2.15, -36, 198
15.2.16, -24, 268
15.1.1, 0, 256
15.1.2, -14, 242
